epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,158.073,2.30935,7.39447,0.66271,2.35697,0.01311,12.2496,0.47212,0.44015,0.39614,0.1332,0.2887,0.23231,0.12654,0.03875,2.34291,6.32023,0.55193,1.90814,0.01269,0,0.00999264,0.00333088,0.00999264,0.00333088,0.00999264,0.00333088,0.00999264,0.00333088
2,297.179,2.14778,5.90408,0.5261,1.99509,0.01185,8.75778,0.45192,0.39476,0.34834,0.1167,0.31084,0.24192,0.14755,0.04746,2.26823,5.99244,0.44284,2.19366,0.01249,0,0.0197947,0.00659824,0.0197947,0.00659824,0.0197947,0.00659824,0.0197947,0.00659824
3,431.786,2.19336,6.09943,0.47065,2.27299,0.01226,8.96624,0.36498,0.269,0.23246,0.0815,0.22452,0.14672,0.08032,0.03097,2.35602,6.97035,0.39479,2.72283,0.01407,0,0.0293988,0.00979959,0.0293988,0.00979959,0.0293988,0.00979959,0.0293988,0.00979959
4,564.395,2.26348,6.31066,0.44706,2.47662,0.01278,9.29399,0.38072,0.29956,0.24986,0.09017,0.27217,0.14891,0.09147,0.03538,2.33918,6.76337,0.35791,2.62115,0.01369,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,697.361,2.22012,6.09661,0.42703,2.44941,0.01264,9.04218,0.40583,0.28455,0.26813,0.10238,0.28777,0.17773,0.12529,0.05421,2.34424,6.37216,0.35509,2.5806,0.01326,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,830.228,2.17936,5.95161,0.41813,2.4268,0.01217,8.98538,0.41823,0.35474,0.31152,0.11512,0.31922,0.22183,0.15534,0.06653,2.29491,6.15442,0.34474,2.36964,0.01289,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,963.083,2.15171,5.79553,0.40572,2.39153,0.0121,8.82618,0.44642,0.34323,0.32222,0.12084,0.28489,0.21572,0.13291,0.05315,2.20718,6.13041,0.33926,2.41314,0.01238,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1095.72,2.14623,5.72172,0.4025,2.34173,0.01197,8.62483,0.43622,0.34228,0.30177,0.11647,0.30334,0.22533,0.1486,0.06899,2.2218,6.17838,0.34,2.4774,0.01269,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1228.51,2.12982,5.62352,0.39817,2.30914,0.01192,8.54919,0.46261,0.3559,0.33686,0.13283,0.33379,0.23581,0.17042,0.07978,2.19225,6.04104,0.33568,2.37432,0.01233,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1361.34,2.10163,5.52715,0.39007,2.29136,0.01166,8.49027,0.46808,0.3441,0.33911,0.13529,0.30948,0.22751,0.15871,0.07299,2.21192,6.15823,0.33407,2.33697,0.01223,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1493.86,2.10573,5.45957,0.39324,2.26665,0.0115,8.32553,0.46828,0.35677,0.33693,0.13977,0.38118,0.26245,0.19336,0.08927,2.19806,5.74955,0.33233,2.33894,0.01219,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1626.55,2.10449,5.348,0.38594,2.22629,0.01165,8.31068,0.52329,0.34454,0.35904,0.1478,0.42906,0.25328,0.20243,0.09776,2.19583,5.66528,0.33606,2.31412,0.01216,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1759.4,2.08526,5.29586,0.38532,2.21093,0.01148,8.18795,0.49107,0.35774,0.36139,0.14998,0.39873,0.26376,0.2197,0.10938,2.20534,5.67545,0.33153,2.2666,0.0122,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1892.52,2.07545,5.29831,0.38264,2.21156,0.01142,8.21163,0.47918,0.39535,0.37416,0.15246,0.4017,0.27424,0.22252,0.1095,2.16856,5.6993,0.33246,2.22233,0.01188,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2024.96,2.09579,5.2133,0.38122,2.17107,0.01145,8.06616,0.52602,0.36856,0.38414,0.15514,0.41115,0.26832,0.21734,0.10846,2.19661,5.74905,0.32913,2.2297,0.01182,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2157.57,2.08106,5.14354,0.37899,2.14687,0.01122,7.89949,0.51851,0.38646,0.38524,0.16108,0.42851,0.2821,0.23663,0.1218,2.17185,5.45027,0.33035,2.20508,0.0119,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2290.04,2.05991,5.08599,0.37658,2.13233,0.01119,7.80927,0.52666,0.37773,0.38568,0.16224,0.44019,0.29563,0.24232,0.12417,2.17582,5.38598,0.3278,2.15548,0.01186,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2422.44,2.05176,4.9821,0.37849,2.1216,0.01115,7.7188,0.52231,0.38515,0.39077,0.16194,0.44315,0.29087,0.24778,0.12654,2.17211,5.47395,0.32558,2.1505,0.01165,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2554.98,2.06034,4.99621,0.37974,2.08936,0.01105,7.62067,0.53655,0.41135,0.42164,0.17054,0.47477,0.30175,0.26591,0.13633,2.16153,5.33309,0.3235,2.10254,0.01169,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2687.77,2.04497,4.94061,0.37233,2.06209,0.01114,7.62841,0.55463,0.39607,0.40683,0.17199,0.43232,0.28952,0.23904,0.12824,2.14799,5.54156,0.32228,2.15244,0.01167,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2820.31,2.0539,4.97437,0.37272,2.08849,0.01095,7.62033,0.55937,0.42314,0.4257,0.17866,0.46094,0.331,0.2786,0.14547,2.13231,5.21775,0.31943,2.10803,0.01142,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2952.81,2.05463,4.90099,0.37454,2.05708,0.01102,7.45421,0.54095,0.40655,0.41156,0.17606,0.44711,0.30961,0.26045,0.13365,2.10979,5.28084,0.32222,2.11564,0.01132,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3085.39,2.03202,4.82968,0.37347,2.05235,0.01083,7.38317,0.54203,0.41915,0.41994,0.18191,0.44928,0.31208,0.26982,0.14237,2.09852,5.1523,0.32301,2.09039,0.01126,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3217.98,2.0186,4.80945,0.36694,2.03312,0.01078,7.44205,0.53973,0.42271,0.42816,0.18546,0.47238,0.33624,0.29064,0.15284,2.09198,5.077,0.31849,2.05628,0.01122,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3350.59,2.03779,4.70369,0.36828,2.00178,0.01084,7.22971,0.57189,0.431,0.44258,0.18861,0.50667,0.33951,0.30259,0.16124,2.12553,5.0355,0.31765,2.0353,0.01122,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3483.18,2.01569,4.68351,0.36714,1.98817,0.01092,7.21592,0.55822,0.43493,0.43848,0.18722,0.50269,0.34891,0.30314,0.15916,2.12102,4.91689,0.32173,2.02343,0.01133,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3615.83,2.01664,4.66359,0.36805,1.9825,0.01095,7.26369,0.57608,0.43082,0.44069,0.19595,0.50524,0.3447,0.31137,0.16965,2.09022,4.98588,0.31642,2.01435,0.0113,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3748.28,2.00534,4.60677,0.36576,1.97655,0.01073,7.1466,0.58547,0.4268,0.43934,0.19236,0.52506,0.33165,0.30773,0.17002,2.11219,4.96525,0.31832,2.04295,0.01125,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3881.12,2.0065,4.57442,0.36357,1.95867,0.01067,7.0534,0.57108,0.43231,0.44896,0.19413,0.50871,0.35812,0.32951,0.17976,2.09606,4.79327,0.31892,2.01084,0.01107,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4013.91,2.00367,4.56437,0.36714,1.95667,0.01079,7.07712,0.55142,0.44934,0.44218,0.19251,0.53064,0.36114,0.32807,0.17507,2.06793,4.78414,0.31722,2.02162,0.0109,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4146.38,1.98951,4.52864,0.363,1.92108,0.01053,6.96872,0.58471,0.44672,0.45947,0.20232,0.53828,0.35066,0.32699,0.18184,2.07965,4.7048,0.31828,1.99733,0.01105,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4278.82,2.00197,4.47297,0.36361,1.90146,0.01074,6.92131,0.56291,0.44498,0.4611,0.20237,0.5476,0.36367,0.34843,0.18988,2.07291,4.78802,0.31648,1.98139,0.01093,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4411.42,1.98423,4.42981,0.3594,1.91473,0.01056,6.87897,0.56502,0.4345,0.45191,0.20348,0.52838,0.36681,0.34386,0.18927,2.07015,4.75621,0.3144,1.97692,0.01087,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4544.17,1.98448,4.40133,0.36391,1.932,0.01061,6.77885,0.5811,0.44017,0.45579,0.207,0.5419,0.36572,0.35406,0.19903,2.06492,4.68478,0.31514,1.96583,0.01093,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4677,1.96797,4.33774,0.36343,1.9193,0.01047,6.75427,0.56518,0.44613,0.4546,0.20275,0.54418,0.38162,0.3605,0.19896,2.06667,4.54066,0.31539,1.94534,0.01089,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4809.6,1.97248,4.33206,0.35692,1.8825,0.01044,6.69611,0.59536,0.45233,0.47666,0.21036,0.55423,0.38253,0.37907,0.20674,2.04072,4.48427,0.31479,1.94387,0.0107,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4942.19,1.98562,4.36129,0.36044,1.87489,0.01056,6.65049,0.58244,0.44978,0.47198,0.20914,0.53842,0.38821,0.37409,0.20847,2.06718,4.51935,0.31275,1.93371,0.01075,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5074.81,1.97061,4.25136,0.35891,1.86144,0.01038,6.52806,0.56409,0.46026,0.46222,0.20784,0.54748,0.39306,0.37621,0.2128,2.06252,4.49605,0.31288,1.92559,0.01085,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5207.53,1.95906,4.24169,0.35883,1.84914,0.01045,6.55573,0.57146,0.45633,0.46664,0.2133,0.54766,0.39476,0.37014,0.20654,2.01878,4.48212,0.31103,1.92339,0.01056,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5340.53,1.97086,4.24051,0.35627,1.85358,0.01037,6.5351,0.5779,0.45764,0.4714,0.21529,0.55898,0.39956,0.37978,0.21272,2.04439,4.43138,0.30948,1.90004,0.01066,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5473.32,1.96084,4.22044,0.35892,1.84679,0.01022,6.46459,0.58716,0.45649,0.47694,0.21908,0.54634,0.40044,0.3894,0.22186,2.01521,4.35824,0.3098,1.90781,0.01049,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5606.18,1.95542,4.15068,0.35913,1.84017,0.0103,6.37116,0.5979,0.46816,0.48946,0.22324,0.57204,0.41266,0.40168,0.22924,2.02648,4.32081,0.31202,1.88121,0.01047,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5739.36,1.95061,4.09859,0.35427,1.82505,0.01024,6.33319,0.59832,0.46573,0.48779,0.22156,0.55682,0.41485,0.3987,0.22418,2.04312,4.29165,0.30963,1.87462,0.01069,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5871.92,1.94098,4.06926,0.35571,1.81545,0.01023,6.35236,0.58276,0.4738,0.48427,0.21949,0.56445,0.40917,0.40026,0.22988,2.03113,4.29762,0.3091,1.88017,0.01056,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6005.09,1.94089,4.09321,0.35611,1.82,0.01015,6.29826,0.6018,0.45328,0.4895,0.2244,0.57633,0.41354,0.40936,0.23599,2.02575,4.23428,0.30994,1.85074,0.01059,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6137.81,1.93943,4.02458,0.35466,1.79714,0.01005,6.17059,0.61172,0.469,0.49487,0.22654,0.56972,0.41266,0.40568,0.2353,2.02424,4.21078,0.31067,1.86501,0.01056,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6270.76,1.94783,4.00324,0.35228,1.78955,0.01013,6.10118,0.6261,0.46638,0.49891,0.22818,0.58325,0.41747,0.41108,0.233,2.04347,4.32397,0.31023,1.84535,0.01067,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6403.54,1.92465,3.99021,0.35026,1.79835,0.01005,6.11586,0.60853,0.48603,0.50551,0.23178,0.57735,0.42096,0.40824,0.23631,2.01306,4.23662,0.31117,1.84664,0.01053,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6536.33,1.92218,3.9816,0.35191,1.76045,0.00992,6.06817,0.61404,0.47817,0.50013,0.22913,0.57658,0.4179,0.40995,0.23561,2.02184,4.24215,0.31077,1.83034,0.01045,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
