epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,204.917,2.13972,6.69802,0.7701,1.99274,0.01152,11.0859,0.55397,0.49738,0.49732,0.19678,0.3808,0.30393,0.21758,0.07468,2.13296,5.66586,0.6097,1.73839,0.01131,0,0.00999264,0.00333088,0.00999264,0.00333088,0.00999264,0.00333088,0.00999264,0.00333088
2,391.06,2.04918,5.62515,0.56517,1.92542,0.01107,8.22528,0.49793,0.40611,0.39068,0.1508,0.35021,0.22665,0.1664,0.06734,2.16531,6.34597,0.44776,2.22302,0.01184,0,0.0197947,0.00659824,0.0197947,0.00659824,0.0197947,0.00659824,0.0197947,0.00659824
3,572.911,2.18161,6.22987,0.48031,2.34527,0.01228,9.00027,0.3854,0.27642,0.24608,0.09289,0.2446,0.15546,0.0943,0.03954,2.30882,6.84749,0.39162,2.69229,0.01388,0,0.0293988,0.00979959,0.0293988,0.00979959,0.0293988,0.00979959,0.0293988,0.00979959
4,752.969,2.25941,6.34187,0.45509,2.54075,0.01285,9.32032,0.43068,0.31119,0.28394,0.10117,0.27509,0.18122,0.11444,0.04486,2.27801,6.66522,0.35761,2.60806,0.01302,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,933.091,2.22575,6.14593,0.42893,2.47241,0.01269,9.15428,0.40025,0.33689,0.29381,0.11039,0.28376,0.20306,0.13087,0.05482,2.28562,6.51621,0.35703,2.5201,0.01312,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1113.48,2.18311,5.90162,0.42195,2.411,0.01225,8.91237,0.433,0.33406,0.29479,0.11046,0.33004,0.231,0.15484,0.06731,2.21763,6.04817,0.34696,2.44412,0.01233,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1293.47,2.14229,5.74694,0.40634,2.35034,0.01202,8.75808,0.46156,0.35939,0.33936,0.12795,0.31719,0.21624,0.14969,0.06521,2.21282,6.12413,0.34225,2.38317,0.01238,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1473.41,2.14763,5.65602,0.40319,2.29655,0.01195,8.52705,0.46882,0.35371,0.34585,0.13393,0.37056,0.22882,0.17862,0.08697,2.22258,5.9644,0.33423,2.31087,0.01242,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1653.3,2.10138,5.53658,0.39962,2.25261,0.01175,8.45005,0.50322,0.36201,0.35956,0.14418,0.39898,0.24978,0.20747,0.09875,2.16261,5.77955,0.34027,2.32184,0.01203,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1833.32,2.09923,5.35143,0.39179,2.22219,0.0116,8.28296,0.49786,0.37729,0.37258,0.14722,0.40298,0.26856,0.22929,0.10871,2.19836,5.66464,0.34102,2.29373,0.01188,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2013.05,2.08084,5.32555,0.39435,2.19496,0.01131,8.16228,0.47177,0.39432,0.36007,0.1489,0.37896,0.2638,0.2015,0.10272,2.17388,5.67864,0.33387,2.31787,0.01201,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2192.94,2.06296,5.19477,0.38716,2.18477,0.01137,8.06715,0.52205,0.3655,0.37209,0.15594,0.45215,0.26681,0.23478,0.12053,2.1711,5.60143,0.3277,2.24954,0.01179,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2373.25,2.0488,5.17237,0.38348,2.15717,0.01127,8.00404,0.54086,0.38472,0.39008,0.16424,0.44675,0.26638,0.22928,0.11883,2.15233,5.6874,0.32667,2.22384,0.01168,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2553.12,2.05548,5.088,0.38197,2.12734,0.01128,7.92806,0.52483,0.3786,0.376,0.15969,0.43403,0.28734,0.24305,0.1193,2.17184,5.49926,0.32698,2.22598,0.01168,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2733.26,2.03341,4.98664,0.37815,2.10918,0.01104,7.78486,0.54056,0.39214,0.4057,0.17138,0.45689,0.30786,0.26599,0.13795,2.12763,5.28821,0.32349,2.14399,0.01155,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2913.02,2.02001,4.8986,0.37611,2.06021,0.0109,7.57178,0.51781,0.42751,0.40914,0.17207,0.43532,0.32664,0.26927,0.13963,2.15459,5.21622,0.32401,2.11248,0.0117,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3093.21,2.02954,4.88819,0.37434,2.0452,0.01097,7.63759,0.53588,0.40688,0.40535,0.17572,0.46395,0.31834,0.26906,0.14155,2.13209,5.23243,0.3252,2.12642,0.01122,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3273.05,2.01472,4.755,0.37691,2.01942,0.01087,7.4102,0.54972,0.42183,0.42657,0.18716,0.46382,0.3179,0.27689,0.14745,2.09924,5.22413,0.32047,2.09265,0.01118,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3452.87,2.00188,4.68244,0.37425,1.98951,0.01069,7.3203,0.54995,0.41354,0.42301,0.18553,0.49181,0.33886,0.2982,0.16095,2.10376,5.03478,0.32037,2.06225,0.01129,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3632.8,1.98615,4.63634,0.36791,1.96178,0.01074,7.2743,0.56832,0.41747,0.43528,0.19444,0.51475,0.34061,0.31578,0.17238,2.08194,4.90881,0.32025,2.03226,0.01116,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3812.94,1.98892,4.62664,0.36919,1.97264,0.01051,7.19025,0.56532,0.42707,0.42801,0.18819,0.47504,0.35066,0.29331,0.15248,2.08138,4.94231,0.31767,2.06341,0.01114,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3993.07,1.98938,4.58372,0.3707,1.95436,0.01061,7.11397,0.58415,0.43362,0.44971,0.20084,0.52897,0.34672,0.3199,0.17444,2.04035,4.83932,0.31747,1.99224,0.0108,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4173.46,1.98536,4.49043,0.3698,1.93517,0.01053,7.01819,0.59297,0.44405,0.46009,0.20487,0.54009,0.36419,0.34694,0.19186,2.06482,4.70302,0.31933,1.98233,0.01077,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4353.44,1.97071,4.46415,0.36224,1.90404,0.01037,6.9199,0.59796,0.44035,0.46726,0.20993,0.54426,0.37642,0.35815,0.19765,2.03526,4.59859,0.31655,1.95397,0.01086,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4533.87,1.97067,4.39576,0.36458,1.89911,0.01037,6.86684,0.59187,0.44847,0.46409,0.20935,0.52046,0.37205,0.3362,0.18477,2.04661,4.80274,0.31493,1.95782,0.01093,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4714,1.95328,4.35266,0.36004,1.89431,0.01047,6.89266,0.57411,0.43537,0.46344,0.20989,0.53107,0.35557,0.34391,0.19464,2.03979,4.63503,0.31519,1.96658,0.0108,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4893.99,1.9453,4.36188,0.3649,1.88679,0.01046,6.8374,0.55822,0.45721,0.45318,0.20456,0.54221,0.37817,0.36228,0.20216,2.07069,4.56703,0.31711,1.9402,0.01104,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5074.07,1.93742,4.26309,0.36118,1.87469,0.01029,6.70142,0.59877,0.43581,0.46739,0.21067,0.54032,0.37031,0.36019,0.20323,2.00478,4.59023,0.31307,1.95661,0.01044,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5254.32,1.94607,4.31113,0.35861,1.86789,0.01024,6.79063,0.59176,0.44716,0.46931,0.21467,0.52469,0.3786,0.36398,0.20599,2.04842,4.51833,0.31444,1.91159,0.01067,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5434.18,1.9518,4.31921,0.36316,1.85719,0.01047,6.73457,0.59984,0.4628,0.48403,0.22088,0.57751,0.39476,0.39001,0.21959,2.04159,4.39366,0.3166,1.91849,0.01082,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5614.4,1.9331,4.22677,0.35866,1.83153,0.01018,6.57609,0.59816,0.46419,0.48213,0.21873,0.55266,0.4,0.38052,0.21611,2.03219,4.40473,0.31179,1.89556,0.01074,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5794.53,1.93438,4.16349,0.35839,1.81696,0.01024,6.48195,0.60086,0.46026,0.48578,0.22249,0.5703,0.4048,0.39322,0.22449,2.00787,4.42168,0.31103,1.89316,0.01064,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5974.66,1.9277,4.11019,0.35537,1.79689,0.01023,6.41132,0.62628,0.46987,0.49533,0.2259,0.55919,0.40699,0.38974,0.22426,2.02043,4.44892,0.31039,1.86179,0.01063,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6154.69,1.9228,4.08133,0.35778,1.79948,0.01014,6.2653,0.6074,0.46144,0.48709,0.22359,0.57655,0.39432,0.39358,0.23047,2.01422,4.2562,0.30975,1.88355,0.01053,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6334.67,1.91549,4.01467,0.3561,1.79347,0.01011,6.32505,0.58364,0.47686,0.49213,0.22524,0.54913,0.41572,0.40276,0.23584,2.00711,4.21749,0.30961,1.86288,0.01056,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6514.61,1.90664,4.00703,0.35,1.77817,0.00993,6.23591,0.59789,0.469,0.49078,0.2265,0.5964,0.42183,0.41833,0.2397,2.00295,4.17433,0.30957,1.85411,0.01049,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6694.48,1.91027,4.04201,0.35408,1.77998,0.01007,6.25893,0.62228,0.47817,0.50218,0.23142,0.5879,0.42664,0.41411,0.24448,2.0215,4.21205,0.30745,1.83906,0.01052,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6874.25,1.89664,3.93284,0.35251,1.75427,0.00989,6.08804,0.61021,0.47424,0.50614,0.2365,0.57653,0.42402,0.41716,0.247,1.99446,4.14754,0.30673,1.84777,0.01034,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7054.69,1.88537,3.87149,0.35145,1.73882,0.00994,6.08195,0.62374,0.48066,0.50936,0.23735,0.6051,0.44498,0.43441,0.25375,1.97,4.09703,0.30771,1.84791,0.0102,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7234.84,1.90133,3.91927,0.3504,1.74678,0.0099,6.0703,0.61926,0.47249,0.50841,0.23888,0.61765,0.4179,0.42679,0.25225,1.9683,4.15557,0.30697,1.84228,0.01014,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
