epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,4829.52,2.30229,7.17954,0.54008,2.38623,0.0129,11.1195,0.42894,0.36681,0.32507,0.11417,0.27899,0.20262,0.12219,0.03927,2.30365,6.48859,0.3605,2.23485,0.01322,0,0.000665685,0.000665685,0.000665685
2,6987.91,2.24523,6.33607,0.44318,2.24116,0.01274,9.06512,0.42738,0.31834,0.29635,0.10337,0.27326,0.18166,0.11849,0.04276,2.26938,6.58996,0.35105,2.318,0.01307,0,0.00128838,0.00128838,0.00128838
3,8339.99,2.23719,6.23681,0.42196,2.34758,0.01272,9.1423,0.43504,0.344,0.30735,0.10998,0.2924,0.20174,0.12913,0.0505,2.32133,6.54025,0.33565,2.40163,0.01348,0,0.00186708,0.00186708,0.00186708
4,9623.21,2.23605,6.05899,0.40987,2.34305,0.01267,8.95847,0.40856,0.32428,0.29098,0.11728,0.29345,0.20218,0.14149,0.05446,2.21841,6.15053,0.32889,2.35801,0.01315,0,0.001802,0.001802,0.001802
5,10702,2.17724,5.78906,0.39213,2.28028,0.01212,8.57336,0.46496,0.36468,0.34391,0.13421,0.36543,0.24367,0.18033,0.0796,2.23156,6.08091,0.32473,2.2743,0.01278,0,0.001736,0.001736,0.001736
6,11689.5,2.13423,5.63399,0.38821,2.21992,0.01185,8.44553,0.49792,0.37948,0.36899,0.13726,0.34032,0.23537,0.17529,0.07856,2.23604,6.07619,0.32198,2.18575,0.0129,0,0.00167,0.00167,0.00167
7,12641.1,2.1092,5.4991,0.38503,2.17475,0.01168,8.36841,0.49113,0.40306,0.38679,0.14786,0.38361,0.2655,0.21052,0.09533,2.1913,5.74553,0.32165,2.13837,0.012,0,0.001604,0.001604,0.001604
8,13907.8,2.08634,5.34522,0.37913,2.15598,0.0114,8.15404,0.51134,0.4012,0.39469,0.16224,0.39862,0.29782,0.24082,0.11143,2.13916,5.56625,0.31787,2.11274,0.01189,0,0.001538,0.001538,0.001538
9,15032.8,2.07624,5.2095,0.37985,2.1102,0.01127,8.00447,0.48675,0.39432,0.37897,0.16064,0.42231,0.30175,0.24225,0.12299,2.14292,5.43401,0.32037,2.09424,0.0117,0,0.001472,0.001472,0.001472
10,16028.6,2.04797,5.01432,0.37431,2.03047,0.0111,7.69437,0.5384,0.40218,0.41581,0.16954,0.42537,0.29389,0.24617,0.11706,2.1653,5.35484,0.31903,2.08771,0.01198,0,0.001406,0.001406,0.001406
11,17132,2.04678,5.00555,0.37993,2.05615,0.011,7.68356,0.52674,0.41747,0.40122,0.16516,0.44604,0.30625,0.24932,0.12702,2.17219,5.29565,0.31813,2.09338,0.01181,0,0.00134,0.00134,0.00134
12,18110.6,2.022,4.85445,0.37521,1.99994,0.01095,7.55248,0.51483,0.4314,0.41418,0.17434,0.48888,0.31354,0.27273,0.13771,2.11149,5.28133,0.31586,2.03442,0.01168,0,0.001274,0.001274,0.001274
13,19032.4,2.00345,4.77627,0.36891,1.96243,0.01083,7.43137,0.52691,0.41729,0.41515,0.1795,0.46261,0.32358,0.27569,0.14316,2.11168,5.24775,0.31516,2.02535,0.01167,0,0.001208,0.001208,0.001208
14,19928.1,2.00309,4.66238,0.36487,1.93387,0.01069,7.22946,0.54005,0.42707,0.42572,0.18157,0.48707,0.34279,0.30512,0.15221,2.11746,4.92815,0.31577,1.98568,0.01145,0,0.001142,0.001142,0.001142
15,21197.1,1.99253,4.62901,0.36584,1.92247,0.01071,7.20985,0.57381,0.4433,0.44818,0.1893,0.50144,0.34716,0.31168,0.15804,2.07431,4.91983,0.31451,1.9636,0.01128,0,0.001076,0.001076,0.001076
16,22481.2,1.97479,4.50267,0.36394,1.88985,0.01039,6.99423,0.58242,0.43183,0.45006,0.19859,0.50645,0.36507,0.32505,0.17162,2.07153,4.74892,0.31452,1.96283,0.01115,0,0.00101,0.00101,0.00101
17,23672.4,1.96521,4.41917,0.36174,1.85653,0.01031,6.91872,0.59187,0.4433,0.46541,0.20063,0.51397,0.35677,0.32307,0.17209,2.07885,4.91005,0.31023,1.90211,0.01119,0,0.000944,0.000944,0.000944
18,24629.6,1.96174,4.41311,0.36614,1.85898,0.01025,6.88035,0.58674,0.4476,0.46539,0.20521,0.5212,0.37336,0.34425,0.18231,2.05483,4.72873,0.30986,1.88059,0.01085,0,0.000878,0.000878,0.000878
19,25839.7,1.94828,4.25049,0.3622,1.83651,0.01018,6.61461,0.60003,0.44061,0.47029,0.20839,0.54507,0.37729,0.36626,0.19705,2.03963,4.63336,0.30696,1.88758,0.01069,0,0.000812,0.000812,0.000812
20,26996.5,1.92442,4.16517,0.35963,1.79112,0.01002,6.48441,0.6007,0.45153,0.47009,0.20986,0.53196,0.38908,0.35609,0.19554,2.04722,4.55896,0.30808,1.84935,0.01079,0,0.000746,0.000746,0.000746
21,27999.8,1.8639,3.91997,0.28327,1.6226,0.01127,6.81064,0.59544,0.44017,0.47049,0.20903,0.53673,0.38472,0.35776,0.1905,2.06001,4.57379,0.30841,1.88382,0.01093,0,0.00068,0.00068,0.00068
22,29016.1,1.85876,3.83994,0.28211,1.59174,0.0113,6.68531,0.60225,0.45764,0.47579,0.21408,0.5443,0.38297,0.36079,0.20001,2.02462,4.60253,0.31169,1.86336,0.0108,0,0.000614,0.000614,0.000614
23,30055.4,1.8583,3.77099,0.27874,1.55955,0.01112,6.55354,0.60657,0.4559,0.48078,0.21631,0.55247,0.39869,0.38265,0.20866,2.03407,4.47185,0.30741,1.84633,0.01081,0,0.000548,0.000548,0.000548
24,31051.5,1.84301,3.66726,0.28049,1.52118,0.01096,6.40632,0.61307,0.45983,0.48949,0.21648,0.56471,0.40262,0.38484,0.21095,2.04779,4.39189,0.31075,1.82876,0.01077,0,0.000482,0.000482,0.000482
25,32084.8,1.83477,3.5753,0.28269,1.50894,0.01099,6.2306,0.60871,0.47074,0.49257,0.22342,0.57376,0.40961,0.402,0.22338,2.02155,4.36995,0.3066,1.79662,0.01062,0,0.000416,0.000416,0.000416
26,33046,1.83562,3.5391,0.28048,1.46265,0.01082,6.09769,0.60796,0.47268,0.49691,0.22316,0.54435,0.41354,0.39008,0.21429,2.03901,4.43168,0.30838,1.80129,0.01071,0,0.00035,0.00035,0.00035
27,34038.9,1.81621,3.42584,0.28093,1.45554,0.01071,5.94099,0.62411,0.48515,0.5056,0.22829,0.58083,0.41266,0.40023,0.22408,2.01645,4.35986,0.30626,1.78899,0.01064,0,0.000284,0.000284,0.000284
28,35545.3,1.80885,3.38256,0.27755,1.43936,0.01074,5.92017,0.61703,0.48166,0.50297,0.22607,0.59182,0.4262,0.42153,0.23535,2.01747,4.19107,0.307,1.79427,0.01059,0,0.000218,0.000218,0.000218
29,36845,1.79748,3.30116,0.27612,1.42325,0.01059,5.76336,0.62289,0.47686,0.5072,0.22778,0.58365,0.41616,0.41375,0.23251,2.0231,4.26578,0.30753,1.77761,0.01068,0,0.000152,0.000152,0.000152
30,37956.7,1.78151,3.27099,0.27526,1.4152,0.01044,5.65461,0.63955,0.47118,0.51061,0.23196,0.59869,0.42838,0.42148,0.23607,2.00371,4.17788,0.30829,1.77018,0.01049,0,8.6e-05,8.6e-05,8.6e-05
