epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1693.37,2.32271,7.46034,0.67306,2.44553,0.01342,12.6409,0.49221,0.42882,0.41023,0.14382,0.27715,0.22314,0.12669,0.03707,2.30902,6.67317,0.58164,1.86936,0.01258,0,0.00998527,0.00332842,0.00998527,0.00332842,0.00998527,0.00332842,0.00998527,0.00332842
2,4947.31,2.15278,5.92682,0.53159,1.93334,0.01158,8.55887,0.50419,0.39565,0.39086,0.14735,0.3552,0.21217,0.14849,0.05742,2.21681,6.4455,0.42983,2.01659,0.01248,0,0.0197874,0.00659581,0.0197874,0.00659581,0.0197874,0.00659581,0.0197874,0.00659581
3,5510.73,2.17848,6.01667,0.46723,2.17984,0.01187,8.67789,0.44259,0.30917,0.28655,0.1018,0.27528,0.17729,0.11928,0.04397,2.33622,6.5612,0.37469,2.45657,0.01344,0,0.0293916,0.00979719,0.0293916,0.00979719,0.0293916,0.00979719,0.0293916,0.00979719
4,5884.97,2.24173,6.23445,0.43353,2.38901,0.01249,9.1316,0.40418,0.3083,0.26556,0.09477,0.25271,0.16419,0.08961,0.03398,2.39473,6.63712,0.36168,2.47318,0.01432,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,6265.97,2.20165,5.97028,0.42265,2.3493,0.01202,8.77932,0.44257,0.31616,0.28794,0.1126,0.33752,0.19039,0.13605,0.05726,2.33209,6.40298,0.3565,2.48301,0.01343,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6647.74,2.18295,5.86205,0.41242,2.34626,0.01204,8.64004,0.44913,0.32882,0.31412,0.11818,0.30027,0.20393,0.14261,0.06166,2.26886,6.36231,0.33896,2.30737,0.013,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,7034.24,2.17452,5.80885,0.41114,2.31978,0.0119,8.5185,0.44767,0.33447,0.31943,0.12111,0.32645,0.21354,0.16214,0.06999,2.24767,6.11784,0.34936,2.33894,0.01258,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,7415.62,2.14831,5.66979,0.3987,2.30204,0.01185,8.47844,0.43506,0.3524,0.3155,0.12188,0.33492,0.22489,0.16558,0.07876,2.24818,6.02046,0.32948,2.23864,0.01288,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7795.41,2.132,5.55148,0.39956,2.25155,0.01172,8.26947,0.48136,0.37118,0.34331,0.13579,0.34592,0.22356,0.16463,0.07345,2.22305,6.10434,0.33031,2.28114,0.01211,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,8177.93,2.12733,5.54296,0.39008,2.25653,0.01162,8.32993,0.45184,0.35939,0.3328,0.12551,0.32816,0.22358,0.16233,0.07374,2.22484,6.14962,0.33322,2.27911,0.01249,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,8565.93,2.12174,5.44265,0.38364,2.21134,0.01141,8.2418,0.47701,0.37118,0.36637,0.14052,0.38061,0.24929,0.19624,0.08673,2.2268,5.80207,0.32618,2.1877,0.01219,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,8953.97,2.10166,5.34525,0.38485,2.19458,0.01151,8.13721,0.46413,0.3524,0.33526,0.13549,0.36216,0.2476,0.18895,0.08683,2.18693,5.75861,0.32437,2.26724,0.01255,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,9339.62,2.10804,5.29683,0.3822,2.18827,0.01132,8.01171,0.50573,0.37773,0.37538,0.15724,0.39503,0.27205,0.20933,0.10264,2.1228,5.70739,0.32711,2.15289,0.01182,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,9723.71,2.09227,5.19992,0.37861,2.15772,0.01127,7.93186,0.48101,0.3772,0.3674,0.15203,0.3927,0.27031,0.21344,0.102,2.19594,5.74727,0.32246,2.15782,0.01191,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,10101.5,2.07486,5.1054,0.37784,2.11591,0.01116,7.75858,0.52315,0.38996,0.388,0.15473,0.41924,0.28297,0.23217,0.10893,2.17737,5.52834,0.31662,2.12639,0.01199,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,10480,2.06698,5.09381,0.3754,2.11734,0.01117,7.83846,0.48722,0.40454,0.37957,0.14671,0.40495,0.29389,0.23339,0.1113,2.17458,5.47367,0.31811,2.14695,0.0124,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,10869.7,2.0549,5.04623,0.37439,2.09427,0.01104,7.67342,0.49746,0.38734,0.38044,0.15867,0.40627,0.28746,0.22948,0.11517,2.1907,5.5356,0.31774,2.12327,0.0117,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,11264.3,2.05407,4.92424,0.37098,2.05888,0.01096,7.58649,0.51987,0.4019,0.40049,0.17288,0.43787,0.29118,0.2428,0.12354,2.13323,5.42525,0.31659,2.05723,0.0115,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,11638,2.04692,4.95434,0.37123,2.06864,0.01091,7.52205,0.52093,0.40044,0.39359,0.16779,0.44147,0.30655,0.25619,0.12873,2.13697,5.27058,0.3173,2.12012,0.01151,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,12022.5,2.03903,4.87108,0.3724,2.03363,0.01086,7.39099,0.52965,0.38356,0.40037,0.16852,0.4659,0.29738,0.26784,0.13936,2.17566,5.1966,0.31546,2.06782,0.0115,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,12407.3,2.02751,4.87852,0.36964,2.03147,0.01073,7.459,0.54253,0.40961,0.40451,0.17723,0.48346,0.31961,0.27893,0.14195,2.09068,5.0828,0.31705,2.04993,0.01141,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,12801,2.02052,4.75334,0.36693,2.01155,0.01069,7.26223,0.54809,0.41098,0.4217,0.18285,0.44159,0.31149,0.25889,0.13636,2.10037,5.23075,0.31535,2.00576,0.01133,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,13192,2.02044,4.74322,0.36552,1.98915,0.01079,7.35626,0.52736,0.38686,0.408,0.17587,0.4553,0.30961,0.27455,0.14441,2.10912,5.18587,0.31231,2.06337,0.0112,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,13579.9,2.0203,4.70746,0.36559,1.99244,0.01064,7.25803,0.56193,0.42459,0.4307,0.18551,0.50169,0.34323,0.29733,0.15278,2.10276,5.06866,0.31309,1.9752,0.01116,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,13955.7,2.01528,4.70237,0.36781,1.9851,0.01059,7.2235,0.55004,0.42096,0.42464,0.18779,0.45672,0.33188,0.28429,0.15516,2.07201,5.0888,0.31317,1.99155,0.01117,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,14333.5,2.0008,4.66834,0.36631,1.98358,0.01053,7.20022,0.53177,0.41511,0.42702,0.18802,0.45868,0.32533,0.29459,0.16103,2.07642,4.94091,0.31212,1.99674,0.01093,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,14716.1,2.00249,4.53408,0.36423,1.9488,0.01074,6.94909,0.57479,0.41135,0.43308,0.19312,0.5213,0.34672,0.32009,0.1749,2.07384,4.84768,0.31038,1.93605,0.01096,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,15106,1.9974,4.53263,0.36264,1.94475,0.01054,6.94374,0.546,0.4214,0.43668,0.19214,0.48904,0.34978,0.32024,0.17975,2.07306,4.75121,0.311,1.96448,0.01105,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,15481.3,2.00206,4.48634,0.36307,1.94041,0.01037,6.90738,0.58325,0.42489,0.44234,0.19309,0.51029,0.34498,0.3295,0.1765,2.03502,4.76009,0.30603,1.9785,0.01065,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,15866.3,1.98037,4.4701,0.35987,1.91551,0.01033,6.90577,0.54639,0.44541,0.44925,0.19506,0.50198,0.35066,0.30989,0.16678,2.07069,4.81796,0.31072,1.90342,0.01111,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,16259.4,1.96561,4.42438,0.36103,1.9133,0.01038,6.83865,0.56075,0.43818,0.45262,0.2005,0.49258,0.35371,0.32012,0.17943,2.04132,4.86322,0.31113,1.9538,0.01101,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,16648.2,1.97887,4.40379,0.358,1.888,0.0103,6.72791,0.5873,0.44246,0.46296,0.2077,0.52117,0.37249,0.34663,0.18745,2.04719,4.61995,0.30874,1.9048,0.01074,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,17037.7,1.97166,4.34455,0.35842,1.87557,0.0103,6.68163,0.57596,0.44279,0.46858,0.21075,0.51951,0.37074,0.34601,0.19519,2.02897,4.73474,0.30791,1.86684,0.01064,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
